applicant_id,credit_score,limit_factor,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history
A00001,685,0.7339026724189147,35.64675103968641,4,9,Late<30
A00002,682,1.6303240206316243,65.557813958656,2,2,On Time
A00003,548,1.3993608565096494,27.14403894458487,16,7,On Time
A00004,758,0.6286901682694185,25.930731789408885,18,1,On Time
A00005,724,1.0670951876553703,48.21351105247049,3,7,On Time
A00006,681,1.855341413852754,33.172816462045844,9,9,Late<30
A00007,453,1.1785619024843395,30.47960196414848,4,5,On Time
A00008,730,0.9873912489508658,37.108042113802256,18,3,On Time
A00009,717,1.4656761131728921,38.82477048961034,8,3,Late<30
A00010,670,0.8044585665260875,17.592080883473074,20,6,On Time
A00011,776,1.2857050973107693,70.10985318356737,15,6,On Time
A00012,792,1.5042841303454684,46.66735028012542,11,8,On Time
A00013,713,1.7823176239626166,56.127420060072645,16,3,On Time
A00014,528,1.538756454166805,22.113387430974992,7,10,On Time
A00015,553,1.0766146957528466,54.5483257983117,12,8,On Time
A00016,610,1.6517002600224664,25.591981850119573,20,3,On Time
A00017,655,1.8475998921062626,37.093419944277514,14,1,On Time
A00018,764,1.2166454369899093,18.285530127477433,8,6,On Time
A00019,712,0.5067511782249235,36.36995937491068,0,8,Late<30
A00020,663,1.8213770389277661,59.75629069134071,14,10,On Time
A00021,742,0.7481629874131264,9.864817249422448,2,9,On Time
A00022,602,0.68948825747056,34.93314867264247,14,1,Late<30
A00023,742,0.9615178486100473,31.880782475685727,10,10,On Time
A00024,702,1.0699756180861417,16.7127880917148,8,5,On Time
A00025,732,1.699065047279978,15.294584931680404,18,5,On Time
A00026,764,1.083775077669693,11.326803548804055,17,10,On Time
A00027,675,0.573231749531275,34.027480199324344,20,9,On Time
A00028,480,1.4539425199859177,25.785625465048046,17,2,Late>60
A00029,614,1.5068315351450126,38.15743188409456,20,7,On Time
A00030,758,1.7213313812481554,38.48901383502939,2,4,On Time
A00031,623,1.0982991209916975,10.686551956685882,12,3,On Time
A00032,613,0.6291066143115156,9.173385726297873,5,3,On Time
A00033,686,1.329593416541829,45.30050398130677,5,4,Late 30-60
A00034,789,0.6814960738662599,46.75112667851291,10,10,On Time
A00035,725,0.5256129845364649,59.60124541969887,8,9,On Time
A00036,854,1.6678752077770183,69.58756729961276,16,10,On Time
