applicant_id,annual_income,self_reported_debt,self_reported_expenses,requested_amount,age,province,employment_status,months_employed,credit_score,credit_utilization,num_open_accounts,num_credit_inquiries,payment_history,total_credit_limit,monthly_expenses,estimated_debt,DTI,approved,approved_amount,interest_rate
A00001,76753.71563849953,668.0221349702258,3126.5631435521946,10995.521089363885,64,ON,Full-time,597,702,35.64675103968641,4,9,Late<30,56329.75702517625,4323.280055984888,501.9932062006211,20.871143184240022,0,0.0,0.0
A00002,55874.74954079217,503.9836296676143,1782.3309891158347,11147.927479370821,79,ON,Full-time,324,700,65.557813958656,2,2,On Time,91093.94632312929,118.01388137937519,1492.9799964528765,46.479296414157034,0,0.0,0.0
A00003,82771.92965364884,1073.445910464336,8591.821994111084,16747.36279041602,59,ON,Unemployed,245,647,27.14403894458487,16,7,On Time,115827.79837508648,1327.0935942746432,786.008567489718,30.599720392778103,0,0.0,0.0
A00004,128221.55283858265,1336.6987453762638,4035.227665072294,12121.554552361305,36,ON,Full-time,314,731,25.930731789408885,18,1,On Time,80611.62962985465,3281.8011428708946,522.5796367597318,19.1022646839189,1,12121.554552361305,4.987984704526372
A00005,53259.06546938102,525.0723463319865,3985.437143653825,1041.346120338446,34,ON,Full-time,161,717,48.21351105247049,3,7,On Time,56832.49246139879,9368.443180041699,685.0235008567741,27.6170682648987,1,1041.346120338446,5.18985923538126
A00006,53259.50266882978,834.0286674402345,1698.8667480662,22221.388727522633,69,ON,Full-time,368,700,33.172816462045844,9,9,Late<30,98814.56098268117,8832.890326873796,819.4893238140298,44.76584397390339,0,0.0,0.0
A00007,131874.55486212557,2076.145684345818,3830.656760857787,22799.79420287602,55,ON,Full-time,184,609,30.47960196414848,4,5,On Time,155422.3262675821,5238.422662278664,1184.3026602444804,32.78065517400034,1,10000.0,7.923428962561874
A00008,87879.10697482404,1605.9210153772647,8716.168463288503,22662.263535916343,32,ON,Full-time,275,720,37.108042113802256,18,3,On Time,86771.06119255825,6044.093733093136,804.9760482481911,37.56293541925413,1,15000.0,6.775366383142783
A00009,47347.19262683412,584.3393203269598,3631.287104896359,11005.599331703532,86,BC,Unemployed,528,715,38.82477048961034,8,3,Late<30,69395.64925894645,2882.80741648125,673.5675388640234,36.065264364419015,0,0.0,0.0
A00010,78533.45739265763,574.5369715686617,9516.035624997881,16146.394726023986,48,ON,Full-time,435,696,17.592080883473074,20,6,On Time,63176.912558434924,6698.574831975295,277.85333892402326,16.72539986482828,1,15000.0,3.005830930163315
A00011,47490.793661914875,486.35170357353013,9463.088992083874,11439.232027123415,78,ON,Full-time,259,738,70.10985318356737,15,6,On Time,61059.15548645793,2371.2510534862076,1070.2121066670445,43.66704762906449,1,10447.974605621273,6.114311278151401
A00012,47435.92458299541,974.416730106,1448.9865930734602,1465.0556008887274,71,ON,Full-time,244,745,46.66735028012542,11,8,On Time,71357.10855846448,25.098097271585296,832.5117950186992,46.266310823682694,0,0.0,0.0
A00013,67574.17320049589,1009.9255859309923,1773.1125352264487,17311.019296871145,54,BC,Part-time,337,713,56.127420060072645,16,3,On Time,120438.63981994615,9632.358462465128,1689.9775321594775,52.556796788542606,0,0.0,0.0
A00014,23002.538943600946,381.84979450161615,8626.740703318892,4589.05931643632,48,BC,Full-time,49,639,22.113387430974992,7,10,On Time,35395.30526168924,3816.2882582031875,195.67752462234046,33.71957558886668,1,4589.05931643632,8.306081770315945
A00015,25274.2427686738,160.6759860655089,3927.6091892471923,3321.1983986517776,82,ON,Part-time,271,649,54.5483257983117,12,8,On Time,27210.62118877933,5227.207164242743,371.07345744499463,27.612336787922516,1,3321.1983986517776,5.784030419989833
A00016,45200.17490441385,624.08636006475,43.73982283009337,22909.47299220683,32,BC,Unemployed,234,672,25.591981850119573,20,3,On Time,74657.14064268132,1000.9253755002923,477.6560470773311,38.372891390312915,1,15000.0,6.4717627213458435
A00017,36083.26414852113,245.26851601162386,2738.71819705371,1275.6798701250632,41,BC,Full-time,583,690,37.093419944277514,14,1,On Time,66667.43494764941,5273.1652120796825,618.2307902802406,29.353259196643332,1,1275.6798701250632,5.452430217582188
A00018,70061.1468597906,1019.4789395499013,5976.2899319556,28811.244864653057,66,BC,Unemployed,555,733,18.285530127477433,8,6,On Time,85239.57463724415,9023.533335845363,389.6627025206724,31.53777060587283,1,15000.0,5.988082402732623
A00019,38024.57583774577,748.244113586344,7992.65965959968,15942.40555926473,46,ON,Full-time,305,713,36.36995937491068,0,8,Late<30,19268.998607280628,8776.489543389049,175.20317413550174,36.68943083772967,1,15000.0,4.97233437991951
A00020,29550.26968924983,602.0211133695012,1333.8861709325956,29507.476490478304,25,ON,Full-time,476,693,59.75629069134071,14,10,On Time,53822.18270612278,5779.401227001188,804.0534988573809,75.0728888375565,0,0.0,0.0
A00021,124595.07828821737,1760.9096983907718,1105.4136441673534,2681.9296017085444,60,ON,Part-time,487,725,9.864817249422448,2,9,On Time,93217.42598908507,8567.396667377307,229.8932179609717,19.561272129986932,1,2681.9296017085444,4.562112747884567
A00022,53482.61087929391,691.6453286545211,9220.926535723316,17922.356917111483,28,ON,Part-time,79,668,34.93314867264247,14,1,Late<30,36875.632180140376,3642.4038245743327,322.0454853366307,28.77629524801739,1,15000.0,4.021674693911254
A00023,61930.25443446889,1240.5558478031844,7511.483678225826,11130.484043301425,86,ON,Part-time,285,725,31.880782475685727,10,10,On Time,59547.04500770337,1925.2769504813084,474.60159724011464,36.46905163648636,1,11130.484043301425,6.886467905664756
A00024,29366.971601059646,472.029334267228,5897.796007780785,25460.992291614286,62,ON,Full-time,560,709,16.7127880917148,8,5,On Time,31421.943590161965,4216.30869521146,131.28707116304827,40.25874931287531,1,8075.917190291403,6.319750529844896
A00025,45606.64176956222,328.20581804117313,7691.86789995928,11475.459321794302,31,BC,Unemployed,97,720,15.294584931680404,18,5,On Time,77488.65095448226,8096.322536604532,296.2891883161667,20.960812687135974,1,11475.459321794302,3.567050843074058
